taxon_id	speciesName	order	patch_area	change_patch_area	habitat_intactness_p5	habitat_intactness_p10	habitat_intactness_p50	habitat_intactness_p90	habitat_intactness_p95	change_habitat_intactness_p5	change_habitat_intactness_p10	change_habitat_intactness_p50	change_habitat_intactness_p90	change_habitat_intactness_p95	patch_intactness_p5	patch_intactness_p10	patch_intactness_p50	patch_intactness_p90	patch_intactness_p95	change_patch_intactness_p5	change_patch_intactness_p10	change_patch_intactness_p50	change_patch_intactness_p90	change_patch_intactness_p95	habitat_breadth	range_size	gestation_length	weaning_age	realm	criterionB	rl_cat	threatened_status
14186	Myotis oreias	Chiroptera	0	0	0	0	0	0	0	0	0	0	0	0											1	533	73.333	49.308	Indomalayan	0	DD	Data deficient
2533	Balantiopteryx plicata	Chiroptera	0.073159555	-0.006463234	0	0.001	0.016	0.185	0.289	0	-0.001	-0.001	-0.012	-0.017	0.172	0.203	0.331	0.594	0.732	-0.002	-0.001	-0.004	0.009	0.013	4	818321	138.81	58.59	Neotropic	0	LC	Non-threatened
48266217	Mirzamys louiseae	Rodentia	0.83809823	-0.00628338	0.212	0.222	0.435	0.473	0.473	-0.07	-0.069	-0.03	-0.028	-0.027	0.356	0.375	0.46	0.473	0.474	-0.031	-0.032	-0.031	-0.028	-0.028	2	9549	28.377	25.955	Australasia	0	LC	Non-threatened
136637	Microcebus griseorufus	Primates	0.00041799	0	0.001	0.001	0.019	0.092	0.113	-0.001	0	-0.004	-0.014	-0.015	0.112	0.112	0.142	0.192	0.192	-0.011	-0.011	-0.013	-0.005	-0.005	2	35886	60.34	39.783	Afrotropic	0	LC	Non-threatened
136770	Myotis moluccarum	Chiroptera	0.564742278	-0.09304908	0.031	0.065	0.335	0.609	0.636	-0.006	-0.014	-0.074	-0.094	-0.032	0.304	0.33	0.467	0.636	0.645	-0.015	-0.026	-0.099	-0.028	-0.027	4	656503	91.128	56.28	Australasia	0	LC	Non-threatened
84463728	Myonycteris leptodon	Chiroptera	0.013869132	-0.003548526	0	0.001	0.008	0.069	0.11	0	0	-0.001	-0.012	-0.018	0.156	0.181	0.261	0.33	0.343	-0.018	-0.012	0.001	0.001	0.011	1	840067	152.2	108.874	Afrotropic	0	LC	Non-threatened
21462	Taphozous nudiventris	Chiroptera	0.027499482	-0.006585976	0	0	0.002	0.09	0.176	0	0	0	-0.021	-0.031	0.216	0.252	0.381	0.797	0.847	-0.01	-0.002	0.05	0.017	0.015	9	1202859	99.055	47.005	Indomalayan	0	LC	Non-threatened
13047	Melanomys robustulus	Rodentia	0.397462172	-0.119565691	0.017	0.026	0.19	0.497	0.623	-0.006	-0.006	-0.031	-0.05	-0.074	0.26	0.278	0.387	0.639	0.671	-0.008	-0.002	0.002	-0.057	-0.058	1	22933	28.594	24.368	Neotropic	0	LC	Non-threatened
13953	Mus booduga	Rodentia	0.002271559	-0.000150436	0	0	0.001	0.025	0.046	0	0	0	-0.003	-0.005	0.061	0.089	0.246	0.542	0.611	-0.003	-0.004	0	-0.003	-0.002	11	3197363	20.999	23.772	Indomalayan	0	LC	Non-threatened
20957	Sturnira mordax	Chiroptera	0.130885089	-0.021381175	0	0	0.021	0.304	0.37	0	0	-0.003	-0.034	-0.048	0.229	0.255	0.353	0.423	0.443	-0.007	-0.02	-0.036	-0.05	-0.059	2	28483	118.841	73.311	Neotropic	0	LC	Non-threatened
